PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount,MS,MS_Uncertainty,MS_StationCount
1683338,1980-07-20T19:17:35Z,-41.32,0.0,175.01,0.0,27.0,0.0,ML,,,,2.1,0.1,4,,,,,,
1683339,1980-07-20T20:24:12Z,-40.85,0.0,174.94,0.0,42.0,1.0,ML,,,,2.1,0.2,6,,,,,,
1683340,1980-07-21T07:02:32Z,-41.1,0.0,174.6,0.0,18.0,2.0,ML,,,,1.7,0.2,5,,,,,,
1683341,1980-07-21T15:42:58Z,-40.97,0.0,175.49,0.0,24.0,1.0,ML,,,,2.4,0.1,5,2.5,0.2,4,,,
1683342,1980-07-22T04:22:44Z,-41.1,0.0,174.86,0.0,29.0,2.0,ML,,,,1.9,0.1,6,,,,,,
1583770,1980-07-22T05:50:10Z,-44.53,0.0,169.8,0.0,6.0,1.0,ML,,,,2.1,0.1,5,,,,,,
1583771,1980-07-22T09:03:29Z,-44.52,0.0,169.81,0.0,4.0,1.0,ML,,,,1.6,0.1,4,,,,,,
1683343,1980-07-22T09:26:25Z,-40.85,0.0,174.97,0.0,42.0,1.0,ML,,,,2.3,0.1,4,,,,,,
1561086,1980-07-22T11:10:01Z,-37.94,0.1,176.19,0.1,219.0,6.0,ML,,,,4.2,0.3,7,,,,,,
1561087,1980-07-22T13:38:23Z,-36.5,0.1,177.8,0.1,271.0,8.0,ML,,,,3.8,0.3,6,,,,,,
1683344,1980-07-22T15:28:59Z,-40.86,0.0,174.94,0.0,41.0,2.0,ML,,,,2.0,0.2,5,,,,,,
1683345,1980-07-22T15:52:38Z,-41.62,0.0,174.78,0.0,28.0,1.0,ML,,,,2.2,0.1,4,,,,,,
1683346,1980-07-23T00:23:33Z,-41.1,0.0,174.6,0.0,52.0,2.0,ML,,,,2.3,0.1,4,,,,,,
1683347,1980-07-23T17:24:18Z,-40.87,0.0,174.76,0.0,17.0,2.0,ML,,,,1.4,0.1,4,,,,,,
1583772,1980-07-23T18:05:27Z,-44.53,0.0,169.8,0.0,6.0,0.0,ML,,,,2.0,0.2,5,,,,,,
1683348,1980-07-23T18:22:49Z,-41.42,0.0,174.46,0.0,23.0,1.0,ML,,,,1.8,0.2,5,,,,,,
1683349,1980-07-23T18:26:57Z,-41.42,0.0,174.46,0.0,23.0,1.0,ML,,,,2.0,0.1,4,,,,,,
1683350,1980-07-23T20:25:20Z,-41.02,0.0,175.55,0.0,14.0,1.0,ML,,,,1.9,0.2,4,,,,,,
1561088,1980-07-23T23:37:23Z,-37.76,0.0,177.48,0.0,33.0,0.0,ML,,,,3.4,0.3,5,,,,,,
1683351,1980-07-24T15:54:59Z,-41.45,0.0,175.3,0.0,16.0,0.0,ML,,,,1.9,0.2,6,,,,,,
1561090,1980-07-24T20:14:19Z,-45.19,0.0,167.3,0.1,46.0,9.0,ML,,,,3.9,0.3,5,,,,,,
1683352,1980-07-24T20:33:48Z,-41.0,0.0,174.65,0.0,58.0,1.0,ML,,,,1.9,0.1,4,,,,,,
1683353,1980-07-25T00:30:17Z,-41.23,0.0,174.37,0.0,35.0,1.0,ML,,,,2.0,0.2,5,,,,,,
1583773,1980-07-25T00:38:28Z,-44.53,0.0,169.81,0.0,6.0,0.0,ML,,,,1.8,0.1,5,,,,,,
1683354,1980-07-25T07:36:32Z,-41.24,0.0,173.81,0.0,57.0,0.0,ML,,,,2.5,0.1,4,,,,,,
1683355,1980-07-25T12:41:56Z,-40.99,0.0,174.92,0.0,29.0,1.0,ML,,,,2.0,0.2,3,,,,,,
1561092,1980-07-25T21:46:00Z,-39.19,0.0,173.98,0.1,33.0,0.0,ML,,,,2.9,0.4,2,,,,,,
1583774,1980-07-26T09:33:22Z,-44.52,0.0,169.82,0.0,3.0,0.0,ML,,,,2.1,0.1,6,,,,,,
1683356,1980-07-26T14:35:44Z,-41.01,0.0,174.56,0.0,62.0,1.0,ML,,,,2.2,0.1,7,,,,,,
1683357,1980-07-26T23:03:14Z,-40.93,0.0,175.49,0.0,25.0,0.0,ML,,,,1.9,0.2,4,,,,,,
