PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,Mjma,Mjma_Uncertainty,Mjma_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,MLh,MLh_Uncertainty,MLh_StationCount,Ms(BB),Ms(BB)_Uncertainty,Ms(BB)_StationCount,mBc,mBc_Uncertainty,mBc_StationCount,mb,mb_Uncertainty,mb_StationCount,Mw(mBc),Mw(mBc)_Uncertainty,Mw(mBc)_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2012p001809,2012-01-01T16:03:52Z,-43.44,1.5,172.82,2.2,5.0,0.0,M,,,,3.5,0.3,7,3.7,0.3,7,3.5,nan,7,,,,4.0,0.3,6,,,,,,,,,,,,,3.5,0.2,7
2012p001811,2012-01-01T16:05:05Z,-40.47,1.9,176.2,2.6,13.0,5.0,M,,,,1.9,0.4,10,2.1,0.2,10,1.8,nan,10,,,,2.5,0.2,7,,,,,,,,,,,,,1.8,0.2,10
2012p001829,2012-01-01T16:14:35Z,-43.45,2.2,172.81,3.1,5.0,0.0,M,,,,2.8,0.5,4,2.2,0.6,4,2.1,nan,4,,,,2.7,0.4,3,,,,,,,,,,,,,2.1,0.5,4
2012p001836,2012-01-01T16:18:44Z,-43.45,2.2,172.81,3.2,5.0,0.0,M,,,,,,,2.1,0.5,4,2.0,nan,4,,,,2.5,0.3,3,,,,,,,,,,,,,2.0,0.5,4
2012p001854,2012-01-01T16:28:15Z,-41.8,1.8,173.4,1.8,6.0,2.0,M,,,,2.8,0.5,12,2.6,0.2,12,2.4,nan,12,,,,2.7,0.2,12,,,,,,,,,,,,,2.4,0.3,12
2012p001862,2012-01-01T16:32:27Z,-39.21,1.6,174.87,1.2,14.0,2.0,M,,,,2.7,0.3,37,2.7,0.2,37,2.5,nan,37,,,,2.8,0.2,36,2.7,0.2,8,,,,,,,,,,2.5,0.2,37
2012p001867,2012-01-01T16:35:11Z,-37.9,2.7,176.93,1.7,5.0,0.0,M,,,,2.0,0.6,7,2.1,0.3,7,1.9,nan,7,,,,2.4,0.2,5,,,,,,,,,,,,,1.9,0.3,7
2012p001886,2012-01-01T16:45:05Z,-43.45,1.8,172.81,3.1,10.0,4.0,M,,,,5.3,0.4,3,5.4,0.4,5,5.3,nan,10,,,,5.9,0.2,2,,,,,,,,,,,,,5.3,0.4,10
2012p001887,2012-01-01T16:45:17Z,-43.47,3.7,172.81,4.1,12.0,7.0,MLv,,,,4.9,nan,1,5.7,0.4,25,5.5,nan,25,,,,,,,,,,,,,,,,,,,5.5,0.4,25
2012p001889,2012-01-01T16:46:36Z,-43.46,1.5,172.81,2.3,6.0,3.0,MLv,,,,4.6,0.5,3,4.5,0.7,3,4.2,nan,4,,,,5.1,0.2,2,,,,,,,,,,,,,4.2,0.7,4
2012p001892,2012-01-01T16:48:11Z,-43.38,2.3,172.73,3.0,7.0,4.0,MLv,,,,4.0,0.2,3,3.7,0.5,4,4.2,nan,3,,,,4.1,0.4,2,,,,,,,,,,,,,4.2,0.5,3
2012p001896,2012-01-01T16:50:17Z,-43.45,2.1,172.81,2.8,5.0,2.0,MLv,,,,4.0,0.4,4,4.4,0.6,4,4.3,nan,40,,,,4.9,0.3,3,,,,,,,,,,,,,4.3,0.4,40
2012p001898,2012-01-01T16:51:29Z,-43.45,2.0,172.81,2.4,7.0,5.0,MLv,,,,,,,3.6,0.6,3,3.4,nan,3,,,,4.2,0.3,2,,,,,,,,,,,,,3.4,0.6,3
2012p001902,2012-01-01T16:53:38Z,-43.46,1.5,172.8,2.3,5.0,0.0,MLv,,,,3.4,0.5,4,3.6,0.4,4,3.5,nan,13,,,,4.0,0.2,3,,,,,,,,,,,,,3.5,0.4,13
2012p001904,2012-01-01T16:54:43Z,-43.44,1.8,172.82,2.8,5.0,0.0,MLv,,,,3.6,0.4,4,4.0,0.5,4,3.8,nan,28,,,,4.5,0.2,3,,,,,,,,,,,,,3.8,0.4,28
2012p001905,2012-01-01T16:55:18Z,-43.46,1.8,172.83,2.6,5.0,0.0,MLv,,,,3.1,0.5,3,3.0,0.4,3,2.8,nan,3,,,,3.5,0.0,2,,,,,,,,,,,,,2.8,0.4,3
2012p001909,2012-01-01T16:57:08Z,-43.44,1.7,172.81,2.7,5.0,0.0,MLv,,,,3.3,0.4,4,2.8,0.6,4,2.6,nan,4,,,,3.3,0.2,3,,,,,,,,,,,,,2.6,0.5,4
2012p001912,2012-01-01T16:58:51Z,-43.47,2.2,172.8,1.5,17.0,3.0,M,,,,,,,2.4,0.4,4,2.4,nan,4,,,,,,,,,,,,,,,,,,,2.4,0.6,4
2012p001916,2012-01-01T17:00:54Z,-43.45,1.7,172.81,2.8,5.0,0.0,MLv,,,,,,,2.6,0.6,4,2.0,nan,1,,,,3.1,0.3,3,,,,,,,,,,,,,2.0,nan,1
2012p001921,2012-01-01T17:04:00Z,-43.45,1.7,172.8,2.5,5.0,0.0,MLv,,,,2.9,0.4,4,2.6,0.3,4,2.5,nan,4,,,,3.1,0.3,3,,,,,,,,,,,,,2.5,0.4,4
2012p001925,2012-01-01T17:05:42Z,-43.48,2.1,172.82,2.6,10.0,5.0,M,,,,,,,2.3,0.4,4,2.1,nan,4,,,,,,,,,,,,,,,,,,,2.1,0.6,4
2012p001927,2012-01-01T17:06:45Z,-43.45,1.6,172.84,2.8,5.0,0.0,MLv,,,,3.6,0.5,4,4.0,0.6,4,4.1,nan,64,,,,4.5,0.4,3,,,,,,,,,,,,,4.1,0.4,64
2012p001936,2012-01-01T17:11:33Z,-43.49,2.0,172.82,2.9,5.0,0.0,MLv,,,,2.9,0.5,4,2.5,0.7,4,2.4,nan,5,,,,3.1,0.2,2,,,,,,,,,,,,,2.4,0.6,5
2012p001945,2012-01-01T17:16:32Z,-43.46,1.7,172.79,2.9,5.0,0.0,MLv,,,,,,,2.4,0.3,4,2.3,nan,4,,,,2.9,0.3,3,,,,,,,,,,,,,2.3,0.3,4
2012p001947,2012-01-01T17:17:43Z,-45.47,3.2,167.0,4.9,46.0,5.0,M,,,,3.7,0.3,6,3.1,0.1,6,3.0,nan,6,,,,3.2,0.0,6,,,,,,,,,,,,,3.0,0.2,6
2012p001951,2012-01-01T17:19:30Z,-43.49,1.6,172.79,2.7,5.0,0.0,MLv,,,,2.8,0.4,4,2.1,0.6,4,2.1,nan,4,,,,2.8,0.2,2,,,,,,,,,,,,,2.1,0.6,4
2012p001955,2012-01-01T17:21:58Z,-43.47,2.8,172.8,4.1,5.0,0.0,MLv,,,,3.1,0.5,6,2.5,0.4,6,2.4,nan,6,,,,2.8,0.2,4,,,,,,,,,,,,,2.4,0.4,6
2012p001958,2012-01-01T17:23:39Z,-43.45,2.0,172.81,3.1,5.0,0.0,MLv,,,,2.6,0.4,3,1.9,0.6,3,1.8,nan,3,,,,2.5,0.2,2,,,,,,,,,,,,,1.8,0.5,3
2012p001968,2012-01-01T17:28:30Z,-36.75,10.1,179.45,9.4,33.0,0.0,M,,,,3.5,0.4,9,3.3,0.1,9,3.1,nan,9,,,,3.2,0.1,9,3.1,0.2,4,,,,,,,,,,3.1,0.1,9
2012p001969,2012-01-01T17:29:06Z,-43.46,1.5,172.81,2.6,5.0,0.0,MLv,,,,2.9,0.5,4,2.2,0.4,4,2.3,nan,5,,,,2.6,0.1,3,,,,,,,,,,,,,2.3,0.5,5
2012p001972,2012-01-01T17:30:49Z,-43.45,1.8,172.81,2.6,5.0,0.0,MLv,,,,,,,,,,2.7,nan,4,,,,,,,,,,,,,,,,,,,2.7,0.3,4
2012p001978,2012-01-01T17:34:07Z,-43.44,2.1,172.85,2.3,8.0,3.0,MLv,,,,3.4,0.4,11,2.9,0.2,11,2.5,nan,5,,,,3.1,0.2,10,3.3,0.5,3,,,,,,,,,,2.5,0.5,5
2012p001986,2012-01-01T17:38:25Z,-43.45,2.1,172.81,2.9,5.0,2.0,MLv,,,,2.9,0.4,4,2.5,0.6,4,2.4,nan,5,,,,3.0,0.3,3,,,,,,,,,,,,,2.4,0.6,5
2012p001990,2012-01-01T17:40:37Z,-43.48,1.8,172.74,3.3,5.0,0.0,M,,,,,,,,,,2.7,nan,4,,,,,,,,,,,,,,,,,,,2.7,0.5,4
2012p001993,2012-01-01T17:41:58Z,-43.46,1.7,172.81,2.7,5.0,0.0,ML,,,,,,,2.9,0.4,4,,,,,,,3.4,0.2,3,,,,,,,,,,,,,,,
2012p001999,2012-01-01T17:45:32Z,-43.45,1.8,172.8,2.7,5.0,0.0,MLv,,,,2.9,0.4,4,2.3,0.6,4,2.2,nan,4,,,,2.8,0.3,3,,,,,,,,,,,,,2.2,0.5,4
2012p002005,2012-01-01T17:48:22Z,-43.44,1.8,172.8,3.0,5.0,0.0,ML,,,,,,,2.5,0.6,4,,,,,,,3.0,0.4,3,,,,,,,,,,,,,,,
2012p002009,2012-01-01T17:49:38Z,-43.5,1.7,172.82,2.6,5.0,0.0,ML,,,,3.5,0.5,4,3.0,0.1,4,3.8,nan,4,,,,4.7,0.2,2,,,,,,,,,,,,,3.8,0.6,4
2012p002007,2012-01-01T17:49:46Z,-43.46,1.9,172.79,2.8,5.0,0.0,MLv,,,,,,,3.9,0.7,4,3.8,nan,4,,,,4.7,0.2,2,,,,,,,,,,,,,3.8,0.6,4
2012p002031,2012-01-01T18:03:03Z,-43.51,2.4,172.67,3.1,10.0,5.0,MLv,,,,2.6,0.7,4,1.9,0.7,4,1.8,nan,4,,,,2.6,0.1,2,,,,,,,,,,,,,1.7,0.7,3
2012p002036,2012-01-01T18:05:02Z,-39.23,2.4,174.81,1.1,20.0,3.0,ML,,,,2.7,0.3,19,3.0,0.2,19,2.8,nan,19,,,,3.2,0.3,18,,,,,,,,,,,,,2.8,0.2,19
2012p002049,2012-01-01T18:12:10Z,-43.45,2.0,172.83,3.9,5.0,0.0,ML,,,,2.8,0.4,4,2.0,0.5,4,2.1,nan,4,,,,2.4,0.3,3,,,,,,,,,,,,,2.1,0.4,4
2012p002054,2012-01-01T18:14:34Z,-43.45,3.6,172.82,4.4,5.0,0.0,MLv,,,,2.9,0.6,2,2.0,0.6,2,2.0,nan,3,,,,2.6,nan,1,,,,,,,,,,,,,2.0,0.5,3
2012p002058,2012-01-01T18:16:36Z,-40.02,1.4,175.99,1.8,26.0,3.0,ML,,,,2.3,0.4,20,2.7,0.2,20,2.4,nan,20,,,,2.9,0.2,19,,,,,,,,,,,,,2.4,0.3,20
2012p002060,2012-01-01T18:17:42Z,-43.45,1.7,172.79,2.5,5.0,0.0,ML,,,,2.8,0.4,4,2.1,0.6,4,3.5,nan,4,,,,2.6,0.4,3,,,,,,,,,,,,,3.5,0.5,4
2012p002061,2012-01-01T18:18:36Z,-45.2,3.2,167.06,5.6,11.0,3.0,ML,,,,4.0,0.3,10,3.1,0.5,9,3.2,nan,10,,,,3.2,0.2,10,3.7,0.2,3,,,,,,,,,,3.2,0.3,10
2012p002064,2012-01-01T18:19:56Z,-43.44,2.6,172.82,4.3,5.0,0.0,ML,,,,3.2,0.4,4,3.6,0.3,29,3.5,nan,4,,,,4.1,0.1,3,,,,,,,,,,,,,3.5,0.4,4
2012p002068,2012-01-01T18:21:58Z,-37.71,5.7,176.67,5.6,138.0,5.0,MLv,,,,,,,,,,2.5,nan,13,,,,,,,,,,,,,,,,,,,2.5,0.2,13
2012p002075,2012-01-01T18:25:54Z,-43.44,2.2,172.83,3.5,5.0,0.0,MLv,,,,2.9,0.4,4,2.0,0.5,4,2.1,nan,4,,,,2.4,0.3,3,,,,,,,,,,,,,2.1,0.4,4
