PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1563648,1983-01-29T20:00:09Z,-38.65,0.0,175.82,0.0,5.0,0.0,ML,,,,2.9,0.4,1,,,
1584490,1983-01-29T21:08:14Z,-44.2,0.0,169.9,0.0,44.0,1.0,ML,,,,2.5,0.1,4,,,
1686733,1983-01-30T02:46:02Z,-41.0,0.0,175.16,0.0,31.0,1.0,ML,,,,2.5,0.1,4,,,
1563649,1983-01-30T06:41:34Z,-38.64,0.0,175.65,0.1,5.0,0.0,ML,,,,2.4,0.1,1,,,
1563650,1983-01-30T08:20:33Z,-38.6,0.0,175.8,0.0,5.0,0.0,ML,,,,2.4,0.1,1,,,
1563651,1983-01-31T02:32:49Z,-38.6,0.0,175.8,0.0,5.0,0.0,ML,,,,2.1,nan,1,,,
1686734,1983-01-31T02:59:17Z,-41.3,0.0,174.73,0.0,29.0,1.0,ML,,,,2.3,0.1,3,,,
1584491,1983-01-31T09:46:14Z,-44.52,0.0,170.05,0.0,7.0,1.0,ML,,,,1.6,0.2,6,,,
1563652,1983-01-31T10:41:19Z,-38.53,0.0,175.68,0.1,158.0,7.0,ML,,,,4.2,0.2,6,,,
1563653,1983-01-31T20:45:54Z,-38.6,0.0,175.8,0.0,5.0,0.0,ML,,,,2.3,nan,1,,,
1563654,1983-02-01T07:59:58Z,-38.67,0.0,175.87,0.0,5.0,0.0,ML,,,,3.0,0.2,1,,,
1563655,1983-02-01T17:10:44Z,-38.66,0.0,175.74,0.0,5.0,0.0,ML,,,,3.2,0.1,1,,,
1563656,1983-02-01T18:30:47Z,-38.64,0.0,175.65,0.1,5.0,0.0,ML,,,,2.8,0.1,2,,,
1563657,1983-02-01T22:40:29Z,-38.66,0.0,175.77,0.0,5.0,0.0,ML,,,,3.2,nan,1,,,
1563658,1983-02-01T23:17:46Z,-38.6,0.0,175.8,0.0,5.0,0.0,ML,,,,2.5,0.1,1,,,
1584492,1983-02-02T01:26:48Z,-44.01,0.0,170.38,0.0,5.0,1.0,ML,,,,1.9,0.2,6,,,
1563659,1983-02-02T07:48:03Z,-38.65,0.0,175.8,0.0,5.0,0.0,ML,,,,2.7,0.1,1,,,
1563660,1983-02-02T07:54:46Z,-38.66,0.0,175.81,0.0,5.0,0.0,ML,,,,3.7,0.1,1,,,
1563661,1983-02-02T09:45:40Z,-38.6,0.0,175.8,0.0,5.0,0.0,ML,,,,2.5,0.2,1,,,
1563662,1983-02-02T14:08:46Z,-38.66,0.0,175.84,0.0,5.0,0.0,ML,,,,3.0,0.1,1,,,
1563663,1983-02-02T15:38:59Z,-42.84,0.0,177.13,0.1,33.0,0.0,ML,,,,4.3,0.3,6,,,
1563664,1983-02-02T16:12:21Z,-39.64,0.0,173.94,0.0,173.0,5.0,ML,,,,4.1,0.2,3,,,
1563665,1983-02-02T16:50:52Z,-40.98,0.0,175.89,0.0,12.0,0.0,ML,,,,3.5,0.2,4,,,
1563666,1983-02-02T17:35:04Z,-38.69,0.0,175.8,0.0,5.0,0.0,ML,,,,3.0,0.1,1,,,
1563667,1983-02-03T01:13:28Z,-39.26,0.0,174.82,0.0,12.0,0.0,ML,,,,3.2,0.3,4,,,
1563668,1983-02-03T01:46:22Z,-38.65,0.0,175.8,0.0,5.0,0.0,ML,,,,3.6,0.1,1,,,
1563669,1983-02-03T02:16:58Z,-38.6,0.0,175.8,0.0,5.0,0.0,ML,,,,2.3,nan,1,,,
1563670,1983-02-03T05:41:27Z,-38.65,0.0,175.77,0.0,5.0,0.0,ML,,,,2.9,0.1,1,,,
