PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,Mjma,Mjma_Uncertainty,Mjma_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,Ms(BB),Ms(BB)_Uncertainty,Ms(BB)_StationCount,mb,mb_Uncertainty,mb_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2016p500807,2016-07-04T07:10:24Z,-41.01,2.3,174.9,2.5,22.0,3.0,M,,,,,,,2.9,0.2,21,2.6,nan,19,,,,,,,,,,2.6,0.3,19
2016p501087,2016-07-04T09:39:19Z,-37.68,4.4,176.96,5.1,120.0,7.0,M,,,,,,,2.4,0.2,7,2.2,nan,7,,,,,,,,,,2.2,0.2,7
2016p501166,2016-07-04T10:21:43Z,-39.95,5.9,173.88,6.0,217.0,7.0,M,,,,,,,,,,2.5,nan,6,,,,,,,,,,2.5,0.2,6
2016p501262,2016-07-04T11:13:01Z,-37.8,4.0,176.31,4.8,164.0,7.0,M,,,,,,,,,,2.5,nan,21,,,,,,,,,,2.5,0.2,21
2016p501483,2016-07-04T13:10:32Z,-43.01,3.1,171.6,2.9,5.0,6.0,M,,,,,,,2.6,0.2,12,2.3,nan,4,,,,,,,,,,2.3,0.2,4
2016p501487,2016-07-04T13:12:38Z,-39.15,4.0,174.93,3.4,25.0,5.0,M,,,,,,,2.4,0.2,19,2.0,nan,13,,,,,,,,,,2.0,0.2,13
2016p501530,2016-07-04T13:35:38Z,-41.8,2.8,174.02,2.1,6.0,3.0,M,,,,,,,3.8,0.2,33,3.6,nan,32,,,,,,,,,,3.6,0.1,32
2016p501575,2016-07-04T13:59:20Z,-41.74,3.1,174.04,2.7,4.0,3.0,M,,,,,,,2.6,0.2,18,2.3,nan,11,,,,,,,,,,2.3,0.3,11
2016p501622,2016-07-04T14:24:13Z,-40.09,2.3,176.43,2.4,8.0,5.0,M,,,,,,,2.7,0.2,13,2.4,nan,12,,,,,,,,,,2.4,0.1,12
2016p501685,2016-07-04T14:58:15Z,-39.99,2.4,176.54,2.7,11.0,5.0,M,,,,,,,2.9,0.2,13,2.6,nan,13,,,,,,,,,,2.6,0.2,13
2016p501727,2016-07-04T15:20:17Z,-39.27,1.8,173.86,2.5,10.0,2.0,M,,,,,,,2.1,0.2,7,1.7,nan,5,,,,,,,,,,1.7,0.2,5
2016p501997,2016-07-04T17:44:05Z,-40.15,2.4,174.82,2.6,29.0,5.0,M,,,,,,,3.2,0.2,23,3.1,nan,13,,,,,,,,,,3.1,0.1,13
2016p502074,2016-07-04T18:25:27Z,-37.19,6.7,176.78,7.7,211.0,8.0,M,,,,,,,2.7,0.3,8,2.5,nan,11,,,,,,,,,,2.5,0.2,11
2016p502102,2016-07-04T18:40:10Z,-38.79,3.2,175.89,4.1,5.0,7.0,M,,,,,,,2.0,0.2,14,1.7,nan,12,,,,,,,,,,1.7,0.1,12
2016p502431,2016-07-04T21:35:13Z,-35.26,16.1,178.4,9.6,12.0,0.0,M,,,,,,,3.6,0.2,13,3.5,nan,12,,,,,,,,,,3.5,0.2,12
2016p502451,2016-07-04T21:46:11Z,-40.62,2.8,174.09,3.5,57.0,8.0,M,,,,,,,4.2,0.2,34,3.9,nan,34,,,,,,,,,,3.9,0.1,34
2016p502824,2016-07-05T01:05:04Z,-39.8,2.7,174.68,4.0,89.0,6.0,M,,,,,,,2.9,0.2,30,2.6,nan,34,,,,,,,,,,2.6,0.2,34
2016p503092,2016-07-05T03:27:37Z,-39.16,2.4,175.35,2.7,6.0,4.0,M,,,,,,,1.2,0.2,11,0.9,nan,6,,,,,,,,,,0.9,0.1,6
2016p503129,2016-07-05T03:47:35Z,-41.29,4.7,172.86,4.7,129.0,7.0,M,,,,,,,,,,1.7,nan,4,,,,,,,,,,1.7,0.9,4
2016p503235,2016-07-05T04:43:48Z,-39.32,2.1,175.45,2.2,17.0,2.0,M,,,,,,,0.9,0.1,11,0.7,nan,7,,,,,,,,,,0.7,0.2,7
2016p503543,2016-07-05T07:28:08Z,-39.24,7.1,175.42,9.8,12.0,12.0,M,,,,,,,0.8,0.1,5,0.5,nan,4,,,,,,,,,,0.5,0.1,4
2016p503934,2016-07-05T10:56:31Z,-36.59,18.8,-179.85,15.1,33.0,0.0,M,,,,,,,3.7,0.3,11,3.3,nan,9,,,,,,,,,,3.3,0.1,9
2016p504163,2016-07-05T12:58:12Z,-38.87,5.4,175.95,10.7,18.0,11.0,M,,,,,,,1.8,0.2,8,1.5,nan,4,,,,,,,,,,1.5,0.2,4
2016p504493,2016-07-05T15:53:58Z,-41.76,2.7,174.03,2.1,7.0,3.0,M,,,,,,,2.8,0.2,24,2.6,nan,19,,,,,,,,,,2.6,0.2,19
2016p504542,2016-07-05T16:20:21Z,-39.48,2.5,175.7,1.8,18.0,3.0,M,,,,,,,2.0,0.2,27,1.6,nan,18,,,,,,,,,,1.6,0.2,18
