PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1681799,1979-07-19T23:13:50Z,-40.8,0.0,174.55,0.0,26.0,2.0,ML,,,,,,,1.9,0.1,4,,,
1681800,1979-07-20T01:05:46Z,-41.48,0.0,175.46,0.0,15.0,1.0,ML,,,,,,,2.1,0.2,7,,,
1681801,1979-07-20T07:47:46Z,-41.64,0.0,174.28,0.0,23.0,1.0,ML,,,,,,,2.1,0.2,5,,,
1560147,1979-07-20T08:00:20Z,-38.29,0.0,175.73,0.0,194.0,3.0,ML,,,,,,,4.3,0.3,7,,,
1560148,1979-07-20T09:55:55Z,-37.72,0.1,175.66,0.1,277.0,6.0,ML,,,,,,,3.7,0.4,5,,,
1681802,1979-07-20T10:59:29Z,-41.03,0.0,174.54,0.0,55.0,1.0,ML,,,,,,,1.9,0.2,7,,,
1681803,1979-07-20T11:10:57Z,-40.99,0.0,174.74,0.0,31.0,1.0,ML,,,,,,,1.9,0.1,5,,,
1681804,1979-07-20T11:30:31Z,-40.92,0.0,175.02,0.0,33.0,2.0,ML,,,,,,,1.7,0.2,6,,,
1681805,1979-07-20T12:44:49Z,-41.4,0.0,174.2,0.0,33.0,1.0,ML,,,,,,,1.6,0.1,4,,,
1681806,1979-07-20T12:50:45Z,-41.36,0.0,175.12,0.0,26.0,2.0,ML,,,,,,,1.2,0.2,4,,,
1681807,1979-07-20T12:50:48Z,-41.36,0.0,175.11,0.0,26.0,1.0,ML,,,,,,,1.6,0.1,7,,,
1681808,1979-07-20T13:59:40Z,-41.41,0.0,175.07,0.0,26.0,1.0,ML,,,,,,,1.4,0.2,6,,,
1681809,1979-07-20T19:17:14Z,-40.87,0.0,175.17,0.0,30.0,1.0,ML,,,,,,,1.9,0.2,6,,,
1681810,1979-07-20T20:39:26Z,-41.31,0.0,174.62,0.0,30.0,1.0,ML,,,,,,,2.0,0.1,5,,,
1681812,1979-07-21T00:06:59Z,-40.98,0.0,174.51,0.0,35.0,3.0,ML,,,,,,,1.4,0.1,3,,,
1681813,1979-07-21T07:16:23Z,-41.64,0.0,175.36,0.0,29.0,1.0,ML,,,,,,,2.3,0.4,7,,,
1560150,1979-07-21T08:40:30Z,-36.76,0.1,177.44,0.1,225.0,9.0,ML,,,,,,,4.0,0.3,6,,,
1681814,1979-07-21T13:46:58Z,-41.46,0.0,174.68,0.0,28.0,0.0,ML,,,,,,,2.2,0.1,6,,,
1560151,1979-07-21T17:11:47Z,-40.42,0.0,174.07,0.0,12.0,0.0,ML,,,,,,,3.6,0.3,12,,,
1681815,1979-07-21T19:22:22Z,-41.31,0.0,174.54,0.0,33.0,1.0,ML,,,,,,,1.6,0.1,5,,,
1583392,1979-07-21T19:23:18Z,-44.1,0.0,170.35,0.0,1.0,0.0,ML,,,,,,,1.8,0.1,3,,,
1681816,1979-07-22T00:58:09Z,-40.79,0.0,174.95,0.0,41.0,0.0,ML,,,,,,,1.8,0.5,3,,,
1583393,1979-07-22T05:04:31Z,-44.06,0.0,169.94,0.0,10.0,1.0,ML,,,,,,,1.5,0.1,6,,,
1583394,1979-07-22T13:12:26Z,-44.28,0.0,170.06,0.0,1.0,0.0,ML,,,,,,,1.5,0.1,2,,,
1583395,1979-07-22T18:03:33Z,-43.56,0.0,170.29,0.0,1.0,0.0,ML,,,,,,,2.1,0.2,4,,,
1681817,1979-07-23T17:19:50Z,-41.39,0.0,175.1,0.0,22.0,1.0,ML,,,,,,,1.8,0.2,7,,,
1681818,1979-07-23T23:56:26Z,-41.19,0.1,174.91,0.0,31.0,4.0,ML,,,,,,,1.3,0.2,4,,,
1681819,1979-07-24T01:35:22Z,-40.74,0.0,174.82,0.0,36.0,2.0,ML,,,,,,,2.4,0.2,7,,,
1681820,1979-07-24T06:27:43Z,-40.92,0.0,175.46,0.0,22.0,1.0,ML,,,,,,,2.5,0.2,5,2.7,0.2,3
1681821,1979-07-24T07:07:01Z,-40.87,0.0,175.25,0.0,26.0,2.0,ML,,,,,,,2.1,0.3,9,,,
1681822,1979-07-24T08:07:08Z,-40.69,0.0,174.97,0.0,38.0,3.0,ML,,,,,,,2.1,0.3,6,,,
1681823,1979-07-24T09:15:05Z,-41.54,0.0,174.8,0.0,30.0,1.0,ML,,,,,,,1.8,0.3,5,,,
1681824,1979-07-24T09:51:57Z,-40.92,0.0,175.49,0.0,24.0,2.0,ML,,,,,,,2.0,0.2,7,,,
1681825,1979-07-24T11:25:12Z,-40.93,0.0,175.47,0.0,22.0,1.0,ML,,,,,,,2.9,nan,2,3.2,0.2,9
1583396,1979-07-24T14:32:40Z,-44.56,0.1,169.76,0.1,13.0,8.0,ML,,,,,,,1.4,0.1,3,,,
1681826,1979-07-24T15:44:04Z,-40.87,0.0,175.16,0.0,28.0,1.0,ML,,,,,,,2.4,0.2,10,,,
1583397,1979-07-25T02:08:47Z,-43.84,0.0,169.67,0.0,5.0,3.0,ML,,,,,,,2.7,0.1,4,,,
1681827,1979-07-25T05:35:43Z,-41.16,0.0,175.28,0.0,26.0,1.0,ML,,,,,,,1.8,0.3,5,,,
1681828,1979-07-25T07:17:31Z,-41.4,0.0,175.49,0.0,16.0,1.0,ML,,,,,,,2.0,0.1,6,,,
1681829,1979-07-25T13:02:29Z,-41.39,0.0,174.56,0.0,21.0,0.0,ML,,,,,,,2.2,0.1,4,,,
1560152,1979-07-25T17:13:01Z,-39.24,0.0,175.18,0.0,12.0,0.0,ML,,,,,,,3.5,0.4,7,,,
1681830,1979-07-25T19:36:14Z,-40.99,0.0,175.5,0.0,28.0,2.0,ML,,,,,,,2.1,0.1,6,,,
1583398,1979-07-25T19:48:37Z,-44.02,0.0,169.62,0.0,5.0,2.0,ML,,,,,,,2.7,0.1,7,,,
1681831,1979-07-26T03:05:38Z,-41.14,0.0,174.82,0.0,28.0,1.0,ML,,,,,,,1.4,0.2,6,,,
