PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,MS,MS_Uncertainty,MS_StationCount,Md,Md_Uncertainty,Md_StationCount
1687161,1984-01-25T17:23:39Z,-41.98,0.0,174.53,0.0,29.0,1.0,ML,,,,2.7,0.3,4,,,,2.6,nan,1
1687162,1984-01-25T18:44:32Z,-41.01,0.0,173.76,0.0,76.0,3.0,ML,,,,2.7,0.2,3,,,,2.8,nan,2
1687163,1984-01-25T21:07:41Z,-41.59,0.0,174.21,0.0,15.0,1.0,ML,,,,2.4,0.1,6,,,,,,
1564938,1984-01-26T01:29:21Z,-40.06,0.0,176.76,0.1,33.0,12.0,ML,,,,3.4,0.2,6,,,,,,
1564939,1984-01-26T12:11:43Z,-38.05,0.1,176.57,0.1,150.0,8.0,ML,,,,4.1,0.2,8,,,,,,
1564940,1984-01-26T15:05:32Z,-39.16,0.1,174.78,0.1,223.0,10.0,ML,,,,3.8,0.2,6,,,,,,
1564941,1984-01-26T18:55:24Z,-38.85,0.1,175.11,0.1,228.0,9.0,ML,,,,4.0,0.3,7,,,,,,
1564942,1984-01-26T21:39:18Z,-36.62,0.1,177.76,0.1,204.0,11.0,ML,,,,4.0,0.2,4,,,,,,
1564943,1984-01-26T23:36:22Z,-40.88,0.0,172.88,0.1,217.0,5.0,ML,,,,3.7,0.2,2,,,,,,
1687164,1984-01-27T08:28:08Z,-40.88,0.0,174.56,0.0,54.0,1.0,ML,,,,2.5,nan,1,,,,2.1,0.1,2
1564944,1984-01-27T12:22:16Z,-38.86,0.1,174.64,0.1,12.0,0.0,ML,,,,3.7,0.2,5,,,,,,
1564945,1984-01-27T19:31:36Z,-39.07,0.1,178.18,0.1,12.0,0.0,ML,,,,3.4,0.3,2,,,,,,
1564946,1984-01-27T19:37:38Z,-39.12,0.1,178.26,0.2,12.0,0.0,ML,,,,3.4,0.2,2,,,,,,
1687165,1984-01-28T01:34:31Z,-41.24,0.0,175.17,0.0,25.0,0.0,ML,,,,2.1,0.2,4,,,,,,
1564947,1984-01-28T23:12:13Z,-37.11,0.1,177.54,0.1,33.0,0.0,ML,,,,3.8,0.2,8,,,,,,
1564948,1984-01-28T23:30:59Z,-37.38,0.1,179.19,0.2,33.0,0.0,ML,,,,4.3,0.2,9,,,,,,
1564949,1984-01-29T00:06:58Z,-39.44,0.0,176.84,0.0,32.0,2.0,ML,,,,3.9,0.2,6,,,,,,
1687166,1984-01-29T02:01:37Z,-41.22,0.0,174.45,0.0,58.0,1.0,ML,,,,2.4,0.2,5,,,,,,
1564950,1984-01-29T04:35:24Z,-38.02,0.0,176.32,0.0,159.0,3.0,ML,,,,4.1,0.4,6,,,,,,
1687167,1984-01-29T12:33:45Z,-41.62,0.0,173.92,0.0,20.0,1.0,ML,,,,2.7,0.2,5,,,,2.5,nan,1
1564952,1984-01-29T12:35:48Z,-41.64,0.0,173.95,0.0,8.0,3.0,ML,,,,5.1,0.4,10,,,,,,
1687168,1984-01-30T04:46:23Z,-41.66,0.0,173.95,0.1,10.0,2.0,ML,,,,2.5,0.4,3,,,,,,
1564953,1984-01-30T15:52:31Z,-37.36,0.1,177.21,0.1,128.0,19.0,ML,,,,3.6,0.2,4,,,,,,
1687169,1984-01-30T23:35:08Z,-40.88,0.0,174.72,0.0,11.0,2.0,ML,,,,2.1,0.2,3,,,,,,
1564954,1984-01-31T02:53:21Z,-44.21,0.1,169.4,0.0,12.0,0.0,ML,,,,3.7,0.2,5,,,,,,
1687170,1984-01-31T16:59:36Z,-41.23,0.0,174.8,0.0,29.0,0.0,ML,,,,2.5,0.2,3,,,,2.4,nan,1
1687171,1984-01-31T22:57:38Z,-41.84,0.0,174.5,0.0,35.0,2.0,ML,,,,2.6,0.1,3,,,,2.5,nan,1
1687172,1984-02-01T02:06:02Z,-41.26,0.0,173.86,0.0,62.0,4.0,ML,,,,3.0,0.1,2,,,,2.8,0.2,3
1564955,1984-02-01T02:08:07Z,-40.59,0.0,175.36,0.0,33.0,1.0,ML,,,,3.5,0.3,2,,,,,,
1564956,1984-02-01T06:48:29Z,-37.82,0.0,179.35,0.0,25.0,3.0,ML,,,,3.9,0.2,5,,,,,,
1564957,1984-02-01T17:07:00Z,-47.45,0.1,165.31,0.1,33.0,0.0,ML,,,,4.1,0.3,3,,,,,,
1687174,1984-02-02T10:53:58Z,-40.5,0.0,174.46,0.0,68.0,3.0,ML,,,,2.9,0.1,2,,,,2.9,0.1,2
1564958,1984-02-03T04:08:54Z,-41.62,0.0,173.96,0.0,8.0,2.0,ML,,,,3.9,0.4,4,,,,,,
1564959,1984-02-03T06:56:02Z,-41.61,0.0,173.96,0.0,7.0,2.0,ML,,,,4.2,0.4,4,,,,,,
1687177,1984-02-03T22:58:10Z,-41.68,0.0,173.82,0.1,12.0,2.0,ML,,,,2.8,0.2,5,,,,2.3,nan,1
1564961,1984-02-04T15:10:25Z,-44.91,0.0,167.71,0.0,69.0,6.0,ML,,,,3.9,0.2,5,,,,,,
1564962,1984-02-05T04:31:53Z,-41.05,0.1,173.7,0.1,73.0,18.0,ML,,,,3.6,0.2,2,,,,,,
1687179,1984-02-05T07:01:13Z,-41.25,0.0,175.15,0.0,24.0,0.0,ML,,,,2.2,0.1,3,,,,,,
1564965,1984-02-07T15:04:09Z,-41.64,0.0,173.95,0.0,6.0,2.0,ML,,,,3.1,0.4,4,,,,,,
1564966,1984-02-08T12:15:21Z,-39.97,0.0,174.78,0.0,23.0,3.0,ML,,,,3.5,0.3,4,,,,,,
1687181,1984-02-09T00:34:05Z,-40.94,0.0,175.17,0.0,26.0,2.0,ML,,,,2.3,0.2,4,,,,,,
1687182,1984-02-09T06:55:36Z,-40.57,0.0,174.34,0.0,67.0,2.0,ML,,,,2.8,nan,1,,,,3.1,0.1,3
1564967,1984-02-09T12:52:07Z,-45.86,0.0,166.97,0.0,88.0,3.0,ML,,,,3.3,0.4,2,,,,,,
