PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1582858,1978-01-17T12:54:27Z,-44.54,0.0,170.08,0.0,2.0,3.0,ML,,,,2.0,0.1,7,,,
1679515,1978-01-17T14:53:21Z,-41.07,0.0,174.8,0.0,34.0,0.0,ML,,,,2.1,0.1,6,,,
1679516,1978-01-17T23:25:20Z,-41.36,0.0,175.06,0.0,27.0,1.0,ML,,,,2.1,0.1,4,,,
1559091,1978-01-18T09:54:31Z,-42.65,0.0,172.74,0.0,33.0,0.0,MS,5.1,nan,0,5.7,0.2,11,,,
1559092,1978-01-18T10:05:44Z,-42.62,0.0,172.6,0.1,12.0,0.0,ML,,,,4.0,0.2,7,,,
1679517,1978-01-18T20:55:57Z,-41.02,0.0,174.5,0.0,52.0,3.0,ML,,,,2.2,0.1,6,,,
1559094,1978-01-19T01:20:25Z,-37.9,0.1,179.76,0.2,60.0,36.0,ML,,,,4.0,0.3,4,,,
1679518,1978-01-19T05:24:08Z,-41.36,0.0,174.86,0.0,29.0,1.0,ML,,,,2.2,nan,1,2.2,nan,1
1679519,1978-01-19T05:27:58Z,-41.72,0.0,174.54,0.0,35.0,0.0,ML,,,,2.3,0.1,6,,,
1679520,1978-01-19T06:21:18Z,-41.61,0.0,174.96,0.0,32.0,0.0,ML,,,,2.2,0.1,6,,,
1679521,1978-01-20T10:57:40Z,-41.17,0.0,174.71,0.0,32.0,0.0,ML,,,,2.0,0.2,6,,,
1679522,1978-01-20T21:40:58Z,-41.36,0.0,175.11,0.0,26.0,1.0,ML,,,,2.0,0.3,7,,,
1679523,1978-01-21T00:19:08Z,-41.5,0.0,174.25,0.0,24.0,4.0,Md,,,,,,,2.6,0.1,4
1559096,1978-01-21T00:32:56Z,-40.8,0.0,173.89,0.0,33.0,0.0,ML,,,,3.7,0.3,7,,,
1582862,1978-01-21T04:27:24Z,-44.37,0.0,169.51,0.0,10.0,8.0,ML,,,,2.4,0.1,8,,,
1679524,1978-01-21T05:14:19Z,-41.03,0.0,174.26,0.0,19.0,4.0,ML,,,,2.2,0.2,5,,,
1679525,1978-01-21T05:25:08Z,-41.36,0.0,175.07,0.0,27.0,1.0,ML,,,,2.0,0.2,6,,,
1559097,1978-01-21T12:36:57Z,-41.34,0.0,172.4,0.0,0.0,3.0,ML,,,,4.0,0.3,10,,,
1582863,1978-01-21T21:28:28Z,-44.4,0.0,169.5,0.0,14.0,4.0,ML,,,,2.0,0.2,7,,,
1559098,1978-01-22T10:58:41Z,-38.0,0.0,178.62,0.1,12.0,0.0,ML,,,,4.0,0.3,7,,,
1679526,1978-01-22T11:20:54Z,-40.94,0.0,175.04,0.0,32.0,0.0,ML,,,,2.2,0.2,6,,,
1559099,1978-01-22T18:46:53Z,-38.12,0.1,176.29,0.0,12.0,0.0,ML,,,,2.6,0.5,2,,,
1582864,1978-01-22T19:50:15Z,-44.44,0.0,169.97,0.0,0.0,2.0,ML,,,,1.7,0.1,6,,,
1679527,1978-01-22T20:27:35Z,-41.37,0.0,175.12,0.0,27.0,1.0,ML,,,,1.9,0.2,6,,,
1679528,1978-01-22T22:40:42Z,-41.51,0.0,174.85,0.0,28.0,2.0,ML,,,,1.9,0.2,5,,,
1679529,1978-01-23T01:21:28Z,-41.08,0.0,174.12,0.0,48.0,2.0,ML,,,,2.3,0.2,5,,,
1679530,1978-01-23T02:19:15Z,-40.83,0.0,174.58,0.0,61.0,4.0,ML,,,,2.3,0.1,5,,,
1582865,1978-01-23T10:19:06Z,-44.21,0.0,169.98,0.0,10.0,1.0,ML,,,,1.6,0.2,8,,,
1679531,1978-01-23T13:29:52Z,-40.99,0.0,174.64,0.0,39.0,1.0,ML,,,,2.1,0.1,5,,,
1679532,1978-01-23T23:16:21Z,-41.72,0.0,174.52,0.0,35.0,1.0,ML,,,,2.4,0.2,5,,,
1679533,1978-01-25T07:09:11Z,-41.15,0.0,174.68,0.0,33.0,1.0,ML,,,,1.8,0.2,5,,,
1679534,1978-01-25T07:56:03Z,-41.19,0.0,174.78,0.0,53.0,2.0,ML,,,,2.3,0.2,5,,,
1582866,1978-01-25T12:20:18Z,-44.4,0.0,169.5,0.0,6.0,1.0,ML,,,,2.2,0.2,5,,,
1559100,1978-01-25T12:23:54Z,-37.4,0.0,177.4,0.1,133.0,9.0,ML,,,,4.5,0.2,6,,,
1559101,1978-01-25T17:01:32Z,-36.77,0.1,178.22,0.1,33.0,0.0,ML,,,,4.9,0.3,10,,,
1679535,1978-01-25T22:25:31Z,-41.12,0.0,175.29,0.0,24.0,1.0,ML,,,,2.2,0.1,6,,,
1679536,1978-01-26T07:20:17Z,-41.42,0.0,175.0,0.0,26.0,2.0,ML,,,,2.3,0.1,5,,,
1679537,1978-01-26T15:10:42Z,-40.89,0.0,174.21,0.0,53.0,5.0,ML,,,,2.6,0.3,3,2.4,nan,1
1679538,1978-01-26T22:25:53Z,-41.62,0.0,174.6,0.0,29.0,2.0,ML,,,,2.4,nan,1,2.5,0.1,5
1679539,1978-01-26T23:09:40Z,-41.36,0.0,175.12,0.0,26.0,0.0,ML,,,,2.1,0.1,6,,,
1679540,1978-01-26T23:48:58Z,-41.74,0.0,174.53,0.0,35.0,0.0,Md,,,,,,,2.7,0.1,4
1679541,1978-01-27T04:06:50Z,-41.27,0.0,175.17,0.0,21.0,0.0,ML,,,,2.1,0.1,6,,,
1679542,1978-01-27T11:21:53Z,-41.28,0.0,175.18,0.0,22.0,1.0,ML,,,,1.8,0.2,5,,,
1679543,1978-01-27T11:54:09Z,-41.35,0.0,175.12,0.0,26.0,0.0,ML,,,,1.9,0.2,6,,,
1582868,1978-01-27T12:41:29Z,-44.21,0.0,169.74,0.0,3.0,0.0,ML,,,,1.4,0.1,5,,,
1582869,1978-01-27T16:56:09Z,-44.48,0.0,169.68,0.0,9.0,1.0,ML,,,,2.4,0.1,9,,,
1679544,1978-01-28T04:05:17Z,-41.11,0.0,174.18,0.0,61.0,1.0,Md,,,,,,,3.4,0.1,6
1582870,1978-01-28T16:20:05Z,-44.41,0.0,169.94,0.0,1.0,0.0,ML,,,,0.8,0.1,2,,,
1582871,1978-01-28T16:50:34Z,-44.44,0.0,169.97,0.0,1.0,0.0,ML,,,,1.7,0.1,4,,,
1559102,1978-01-29T03:27:46Z,-40.87,0.0,174.04,0.0,12.0,0.0,ML,,,,3.9,0.2,7,,,
1582872,1978-01-29T11:54:25Z,-44.43,0.0,169.96,0.0,1.0,1.0,ML,,,,1.3,0.1,5,,,
1679546,1978-01-30T03:12:15Z,-41.38,0.0,175.11,0.0,26.0,1.0,ML,,,,2.2,0.2,3,2.5,0.1,2
1679547,1978-01-30T06:28:24Z,-41.29,0.0,174.31,0.0,34.0,1.0,ML,,,,2.3,0.1,5,2.2,nan,1
1679548,1978-01-30T06:47:39Z,-41.1,0.0,174.94,0.0,31.0,1.0,ML,,,,1.8,0.1,5,,,
1582873,1978-01-30T07:34:40Z,-44.35,0.0,170.04,0.0,8.0,1.0,ML,,,,2.0,0.0,3,,,
1679549,1978-01-30T08:36:32Z,-41.07,0.0,174.91,0.0,31.0,1.0,ML,,,,2.2,0.2,3,2.2,nan,1
1679550,1978-01-30T12:53:19Z,-41.36,0.0,175.11,0.0,26.0,0.0,ML,,,,2.3,0.1,4,,,
1582874,1978-01-30T17:34:11Z,-43.96,0.0,169.31,0.0,3.0,0.0,ML,,,,2.4,0.1,7,,,
1559103,1978-01-30T19:35:40Z,-44.24,0.0,168.83,0.1,12.0,0.0,ML,,,,5.0,0.3,9,,,
1679551,1978-01-30T20:01:50Z,-40.87,0.0,174.75,0.0,16.0,3.0,ML,,,,2.1,0.1,6,,,
1582875,1978-01-31T05:14:55Z,-44.23,0.0,169.72,0.0,2.0,0.0,ML,,,,2.0,0.1,6,,,
1679552,1978-01-31T14:48:54Z,-40.97,0.1,174.37,0.0,56.0,8.0,ML,,,,2.2,0.2,5,,,
1679553,1978-01-31T15:53:51Z,-41.36,0.0,175.12,0.0,26.0,1.0,ML,,,,2.0,0.1,8,,,
1679554,1978-02-01T06:00:19Z,-40.83,0.0,174.72,0.0,13.0,1.0,ML,,,,2.5,0.2,3,2.4,0.1,2
1559105,1978-02-01T08:24:21Z,-38.49,0.0,175.77,0.1,173.0,7.0,ML,,,,3.8,0.3,6,,,
1679555,1978-02-01T09:43:29Z,-40.89,0.0,174.76,0.0,45.0,2.0,ML,,,,2.2,0.1,7,,,
1582876,1978-02-01T15:10:01Z,-44.31,0.0,169.65,0.0,12.0,5.0,ML,,,,1.9,0.1,3,,,
1679556,1978-02-01T15:36:27Z,-41.24,0.0,174.73,0.0,31.0,0.0,ML,,,,1.8,0.1,7,,,
1559106,1978-02-02T19:19:00Z,-38.39,0.0,177.98,0.1,12.0,0.0,ML,,,,3.8,0.2,9,,,
1559107,1978-02-03T08:00:35Z,-46.48,0.1,166.02,0.2,33.0,0.0,ML,,,,3.3,0.3,1,,,
1582877,1978-02-03T20:43:38Z,-44.01,0.0,169.74,0.0,9.0,2.0,ML,,,,1.5,0.1,7,,,
1559109,1978-02-04T08:57:18Z,-43.24,0.0,171.09,0.1,33.0,0.0,ML,,,,3.5,0.3,6,,,
1582878,1978-02-04T10:33:53Z,-44.06,0.0,169.71,0.0,7.0,1.0,ML,,,,1.7,0.1,6,,,
1582879,1978-02-04T14:34:23Z,-43.59,0.1,170.16,0.0,1.0,7.0,ML,,,,2.2,0.2,8,,,
1559110,1978-02-04T15:33:38Z,-39.3,0.1,174.38,0.1,258.0,9.0,ML,,,,4.0,0.3,5,,,
1559111,1978-02-05T07:41:22Z,-40.43,0.0,176.78,0.1,12.0,0.0,ML,,,,3.5,0.2,8,,,
