PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1688139,1986-03-04T08:28:19Z,-41.2,0.0,174.29,0.0,40.0,2.0,ML,2.7,0.2,3,2.7,0.1,2
1567858,1986-03-04T08:56:58Z,-36.97,0.1,176.96,0.1,244.0,13.0,ML,5.4,0.3,5,,,
1567860,1986-03-04T12:42:40Z,-37.58,0.1,177.03,0.1,12.0,0.0,ML,3.4,0.4,2,,,
1688140,1986-03-04T14:19:17Z,-41.12,0.0,174.58,0.0,33.0,0.0,ML,2.6,0.2,5,,,
1567861,1986-03-04T15:26:28Z,-38.07,0.0,177.8,0.1,32.0,12.0,ML,3.4,0.1,2,,,
1567862,1986-03-04T17:04:57Z,-37.5,0.0,176.97,0.0,12.0,0.0,ML,3.7,0.2,2,,,
1567863,1986-03-04T17:06:07Z,-37.47,0.2,176.92,0.2,12.0,0.0,ML,3.6,nan,1,,,
1688141,1986-03-05T00:29:00Z,-41.18,0.0,174.34,0.0,35.0,0.0,ML,2.5,0.1,5,2.3,nan,1
1688142,1986-03-05T02:06:18Z,-41.07,0.0,175.18,0.0,25.0,0.0,ML,2.3,0.2,5,,,
1567864,1986-03-05T05:03:02Z,-38.41,0.1,176.04,0.1,200.0,11.0,ML,3.7,0.3,3,,,
1567865,1986-03-05T07:11:07Z,-37.72,0.1,178.91,0.1,33.0,0.0,ML,4.6,0.1,5,,,
1567866,1986-03-05T07:13:39Z,-37.15,0.4,179.56,0.3,33.0,0.0,ML,4.3,0.1,2,,,
1567867,1986-03-05T07:32:28Z,-37.61,0.1,-179.98,0.1,33.0,0.0,ML,4.3,nan,1,,,
1688143,1986-03-05T13:48:28Z,-41.08,0.0,174.67,0.0,34.0,1.0,ML,2.7,0.1,4,2.8,0.1,2
1688144,1986-03-05T14:45:50Z,-42.02,0.0,174.49,0.0,30.0,2.0,ML,3.1,0.5,3,3.1,nan,2
1688145,1986-03-05T20:10:35Z,-41.27,0.0,174.84,0.0,26.0,1.0,ML,2.1,0.3,7,,,
1688146,1986-03-06T00:03:35Z,-41.59,0.0,174.54,0.0,30.0,1.0,ML,2.2,0.3,7,,,
1688147,1986-03-06T03:12:34Z,-40.47,0.0,174.3,0.0,37.0,11.0,ML,2.3,0.2,5,,,
1688148,1986-03-06T12:02:12Z,-41.25,0.0,175.17,0.0,25.0,1.0,ML,2.3,0.3,5,,,
1688149,1986-03-06T12:14:17Z,-41.4,0.0,175.05,0.0,26.0,0.0,ML,2.4,0.3,5,2.5,nan,1
