publicid,cell_id,total_reports_from_counts,mean_mmi,median_mmi,max_mode_count,n_modes,mode_mmi,skewness,reported_mmi,report_count,mean_minus_median,api_median_minus_reconstructed,mode_is_tied
2026p576643,2026p576643_cell_1632,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1633,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1634,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_1635,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1636,2,3.5,3.5,1,2,NA,0,3,2,0,-0.5,TRUE
2026p576643,2026p576643_cell_1637,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1638,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1639,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_164,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1640,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1641,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1642,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1643,3,4.333333333333333,4,2,1,4,0.7071067811865493,4,3,0.33333333333333304,0,FALSE
2026p576643,2026p576643_cell_1644,2,4.5,4.5,1,2,NA,0,4,2,0,-0.5,TRUE
2026p576643,2026p576643_cell_1645,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1646,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1647,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1648,2,4.5,4.5,1,2,NA,0,4,2,0,-0.5,TRUE
2026p576643,2026p576643_cell_1649,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_165,3,4.333333333333333,4,2,1,4,0.7071067811865493,4,3,0.33333333333333304,0,FALSE
2026p576643,2026p576643_cell_1650,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1651,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_1652,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_1653,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2026p576643,2026p576643_cell_1654,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2026p576643,2026p576643_cell_1655,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1656,3,5,5,1,3,NA,0,5,3,0,0,TRUE
2026p576643,2026p576643_cell_1657,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1658,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1659,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_166,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2026p576643,2026p576643_cell_1660,8,3.625,4,5,1,4,-0.5163977794943223,4,8,-0.375,0,FALSE
2026p576643,2026p576643_cell_1661,2,3,3,2,1,3,NA,3,2,0,0,FALSE
2026p576643,2026p576643_cell_1662,1,3,3,1,1,3,NA,3,1,0,0,FALSE
